Id,"Project Name",Subtype,"Current Status","Capacity MW","Year of Completion","Country list of Sponsor/Developer","Sponsor/Developer Company","Country list of Lender/Financier","Lender/Financier Company","Country list of Construction/EPC","Construction Company/EPC Participant",Country,Province/State,District,,
479,"Jang Pong dien mat troi Jang Pong",Solar,Operational,10,2019,Vietnam,"Cao Nguyen Cong ty Co phan Đau tu nang luong Cao Nguyen",,,," ",Vietnam,"Đak Lak","Buon Đon",,
480,Jinghong,Hydro,Operational,1750,2008,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Yunnan,"Xishuangbanna Dai",,
481,"Jiratpattana Biogas Energy Project",Waste,Unknown,2,,Thailand,"Thai Biogas Energy Co Ltd.",,,"United Kingdom","EcoSecurities Group plc.",Thailand,Kalasin,"Muang Kalasin",,
482,"JR One Wastewater Biogas to Eelectricity Project",Waste,Unknown,2,,Thailand,"JR One Company Ltd.",,,"United Kingdom","EDF Trading Ltd.",Thailand,"Surat Thani",Prasaeng,,
483,Jufudu,Hydro,Operational,285,2008,China,"Yunnan Datang International Lixianjiang Hydropower Development Company Ltd.; 大唐国际发电股份有限公司、北京国电安融能源投资有限公司和思茅市国有资产经营有限责任公司，股权比例分别为70 PCT、25 PCT和5 PCT",China,,China,"China Datang Corporation"," Gezhouba Group Electrical Construction Co",China,Yunnan,,
484,"Junction City Rooftop Solar",Solar,Operational,0.117,2017,Myanmar,"Shwe Taung Group Myanmar",,,Laos,"Sunlabob Renewable Energy Co Laos",Myanmar,Yangon,Yangon-W,,
485,Kabaung,Hydro,Operational,30,2008,Japan,"Kansai Electric Power Company Japan",,,," ",Myanmar,Bago,Taungoo,,
486,Kadwe,Wind,Planned,220,,Thailand,"Gunkul Public Engineering Co Thailand",,,," ",Myanmar,Tanintharyi,Dawei,,
487,"Kaeng Khoi 2",Gas,Operational,1468,2008,Thailand,"EGCO Electricity Generating Public Company"," Ltd.",,,," ",Thailand,Saraburi,,
488,"Kaeng Krachan Dam",Hydro,Operational,19,,Thailand,"EGAT Thailand",,,," ",Thailand,Phetchaburi,"Kaeng Krachan",,
489,Kagong,Hydro,Planned,240,,China,"‎Huaneng Lancang Hydropower Co Ltd",China,,China,"China Huaneng Group; PowerChina",China,Xizang,Chamdo,,
490,"Kalasin Wastewater Treatment to Energy Project",Waste,Unknown,,,Thailand,"Kalasin Waste to Energy Co Ltd.",,,,"Trading Emissions PLC",Thailand,Kalasin,"Muang Kalasin",,
491,"Kalaywa Kalewa",Coal,Planned,540,,"China; Myanmar","China Guodian"," Tun Thwin Mining",,,," ",Myanmar,Mandalay,,
492,"Kaleum on Huai La-Nge",Hydro,Planned,60,,China,"Hebei Construction and Investment Group China",,,China,"Hebei Construction and Investment Group China",Laos,Xekong,Kaleum,,
493,Kamchay,Hydro,Operational,193.2,2011,China,"Power Construction Corp",China,"China EXIM Bank",China,"Power Construction Corp",Cambodia,Kampot,"Tuek Chhou",,
494,"Kampong Chhnang SchneiTec",Solar,Operational,60,2020,"Cambodia; China","SchneiTec Group",,,," ",Cambodia,"Kampong Chhnang","Tuek Phos",,
495,"Kampong Speu Solar Farm",Solar,Operational,80,2019,"Cambodia; China","SchneiTec Group",,,China,"JinkoSolar Holding Co"," Ltd",Cambodia,"Kampong Speu",,
496,"Kampot Cement Waste Heat Power Generation",Waste,Operational,4.5,2007,Cambodia,"Kampot Cement Company Co Ltd Cambodia",,,China,"Hangzhou Boiler Group China",Cambodia,Kampot,"Dang Tong",,
497,"Kanbauk APU",Gas,Cancelled,6,2015,"Thailand; Myanmar","United Power"," Global Grand Service Co",,,"United Kingdom","Aggreko Co"," Ltd UK",Myanmar,,
498,"Kanbauk Total",Gas,Planned,1230,,"France; Germany","Total France"," Siemens Germany",,,"France; Germany","Total France"," Siemens Germany",Myanmar,,
499,"Kanchanaburi Military Solar",Solar,Planned,300,,Thailand,EGAT," Royal Thai Army",,,,,Thailand,Kanchanaburi,,
500,"Kandal Solar Project",Solar,Planned,135,,"China; Cambodia; USA","Inner Renewable Energy Co Cambodia"," China National Technical Import & Export Corporation China; First Solar USA","USA; UAE","Gideon Group USA; National Bank of Ras Al-Khaimah UAE","Hong Kong"," China","Singyes Green Energy Technologies Ltd.",Cambodia,,
501,"Kangkrachan Dam Irrigation Microhydro",Hydro,Unknown,0.69,,Thailand,"EGAT Thailand",,,," ",Thailand,Phetchaburi,"Kaeng Krachan",,
502,Kanpetlet,Hydro,Planned,30,,Norway,"Norway Power Company Limited Norway",,,," ",Myanmar,Chin,Mindat,,
503,"Karnhin Huaphan Power Plant",Hydro,Planned,400,,"China; Laos","China International Water&Electric China"," EDL Laos",,,," ",Laos,Vientiane,,
504,Karokpi,Wind,Planned,510,,Thailand,"Gunkul Public Engineering Co Thailand",,,," ",Myanmar,Mon,Mawlamyine,,
505,Kawkareik,Wind,Planned,580,,Thailand,"Gunkul Public Engineering Co Thailand",,,," ",Myanmar,Kayin,Hpa-an,,
506,"KCN Tra Noc 2 Nha may nhiet dien dot trau KCN Tra Noc",Biomass,Operational,5.7,2008,Vietnam,"Đinh Hai Thermal Power JSC Cong ty Co phan Nhiet dien Đinh Hai",,,," ",Vietnam,"Can Tho","Binh Thuy",,
507,"KCP Biomass Power Stage 1 - CHP Sugar Nha may dien sinh khoi KCP",Biomass,Operational,30,2016,India,"KCP Vietnam Industries Limited Cong ty TNHH Cong nghiep KCP",,,," ",Vietnam,"Phu Yen","Son Hoa",,
508,"KCP Biomass Power Stage 2 - CHP Sugar Nha may dien sinh khoi KCP",Biomass,Operational,30,2018,India,"KCP Vietnam Industries Limited Cong ty TNHH Cong nghiep KCP",,,," ",Vietnam,"Phu Yen","Son Hoa",,
509,"Ke Go",Hydro,Operational,2.3,1988,,"Ke Go Hydropower JSC",,,," ",Vietnam,"Ha Tinh","Cam Xuyen",,
510,"Keng Tawng",Hydro,Operational,54,2009,China,"Yunnan Machinery & Equipment Import & Export Co YMECChina",,,," ",Myanmar,Shan,Loilen,,
511,"Keng Tawng Upper",Hydro,"Under Construction",51,2020,Myanmar,"MOEP Myamar",,,," ",Myanmar,Shan,Loilen,,
512,"Keng Yang Kyaingyam",Hydro,Planned,70,2025,"China; Myanmar","China Southern Power Grid Yunnan International Co China",,,," ",Myanmar,Shan,Mongphat,,
513,Kengtung,Coal,Planned,600,,Thailand,"Lumpoondum Co"," Ltd Thailand",,,," ",Myanmar,Shan,,
514,"Kengtung Keng Tong",Hydro,Planned,170,,China,"China Southern Power Grid Yunnan International Co China",,,," ",Myanmar,Shan,Kengtung,,
515,"Khai Long Offshore Wind Farm Nha may dien gio khu du lich Khai Long - Ca Mau giai doan 1",Wind,Operational,100,2020,Vietnam,"Cong ty CP Super Wind Energy Cong Ly 1"," changed from Cong ty Xay dung - Thuong mai - Du lich Cong Ly",,,," ",Vietnam,"Ca Mau",,
516,"Khan Rai - BSP Solar Power Plant",Solar,Operational,4.5,,Thailand,"Bangkok Solar Power Company"," Ltd.",,,," ",Thailand,"Ubon Ratchathani",,
517,Khanom,Gas,Operational,748,1996,Thailand,"EGCO Electricity Generating Public Company"," Ltd.",,,," ",Thailand,"Nakhon Si Thammarat",,
518,Khanom,Nuclear,Planned,,,Thailand,"EGAT Thailand",,,," ",Thailand,Chaiyaphum,Chatturat,,
519,"Khanom 4",Gas,Operational,970,2016,"Thailand; Japan","EGCO Thailand"," Mitsubishi Corp Japan"," TEPCO Japan",Japan,JBIC,," ",Thailand,,
520,"Khao Kor Wind Farm Project",Wind,Unknown,59.8,,Thailand,"Khao Kor Wind Power Co Ltd. Thailand; EDF Trading Ltd. France",,,," ",Thailand,Phetchabun,"Khao Kho",,
521,"Khao Mang - Upper and lower Thuy dien Khao Mang Thuong & Ha",Hydro,Operational,54.5,2017,Vietnam,"EVN Vietnam",,,," ",Vietnam,"Yen Bai","Mu Cang Chai",,
522,"Khao Yai Solar Power Plant",Solar,Operational,1,,Thailand,"Thai Solar Energy Public Company Limited TSE Thailand",,,," ",Thailand,"Nakhon Ratchasima","Pak Chong",,
523,"Khao Yao Solar Power Plant",Solar,Operational,10,,Thailand,"Bangkok Solar Power Company"," Ltd.",,,," ",Thailand,Phetchaburi,,
524,Khaunglanphu/Kawnlanghpu,Hydro,Postponed,3000,2030,China,"State Power Investment Corporation China",,,," ",Myanmar,Kachin,Putao,,
525,"Khe Bo",Hydro,Operational,50,,Vietnam,"Viet Nam Electricity Development JSC Vietnam",,,," ",Vietnam,"Nghe An","Tuong Duong",,
526,"Khe Ron",Hydro,Operational,6,2009,Vietnam,"Truong Thinh Group JSC.",,,," ",Vietnam,"Quang Binh","Tuyen Hoa",,
527,Khirittharn,Hydro,Cancelled,660,,Thailand,EGAT,,,,,Thailand,Chanthaburi,Makham,,
528,"Khlong Chong Klam Dam",Hydro,Operational,0.02,,Thailand,"EGAT Thailand",,,," ",Thailand,Lampang,"Muang Lampang",,
529,"Khlong Chong Klum Solar Power Plant",Solar,Operational,8.2,1988,Thailand,"EGAT Thailand",,,," ",Thailand,"Sa Kaeo","Muang Sa Kaeo",,
530,"Khlong Yai",Nuclear,Planned,,,Thailand,"EGAT Thailand",,,," ",Thailand,"Nakhon Si Thammarat","Lan Saka",,
531,"KhlongRuea Off-Grid Hydropower Project",Hydro,Unknown,0.1,,,,,,," ",Thailand,Chumphon,Phato,,
532,"Khmer Electric Power Diesel Power Plant",Oil,Operational,30,2005,"Finland; Singapore; Cambodia","Khmer Electrical Power Co Ltd Cambodia"," Wartsila Diesel Group Finland"," Comin Asia Pte Ltd Singapore"," Comin Khmere Co Ltd Cambodia",,,," ",,
533,"Khok Kham project",Solar,Operational,5,2015,Thailand,"Enmax Holding Thailand Co Ltd./GCL-SI",,,China,"GCL-SI China",Thailand,"Samut Sakhon","Muang Samut Sakhon",,
534,"Khok Thai Solar Power Plant",Solar,Operational,12.7,,Thailand,"Ch. Karnchang Public Company"," Limited",,,," ",Thailand,"Nakhon Ratchasima",,
535,"Khon Kaen 1 Solar Power Plant",Solar,Operational,6.1,2012,Thailand,"Solar Power Khon Kaen 1 Company Limited Solar Power Co Ltd.; Thai Fa Power Co Ltd.",,,," ",Thailand,"Khon Kaen","Muang Khon Kaen",,
536,"Khon Kaen 10 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Khon Kaen 10 Company Limited Solar Power Co Ltd; PEAC ENCOM International Co Ltd",,,," ",Thailand,"Khon Kaen","Chum Phae",,
537,"Khon Kaen 2 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Khon Kaen 2 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Khon Kaen","Khao Suan Kwang",,
538,"Khon Kaen 3 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Khon Kaen 3 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Khon Kaen","Nam Phong",,
539,"Khon Kaen 4 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Khon Kaen 4 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Khon Kaen","Chum Phae",,
540,"Khon Kaen 5 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Khon Kaen 5 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Khon Kaen","Muang Khon Kaen",,
541,"Khon Kaen 6 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Khon Kaen 6 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Khon Kaen","Nong Rua",,
542,"Khon Kaen 7 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Khon Kaen 7 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Khon Kaen","Nong Rua",,
543,"Khon Kaen 8 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Khon Kaen 8 Company Limited Solar Power Co Ltd",,,," ",Thailand,"Khon Kaen","Ban Phai",,
544,"Khon Kaen 9 Solar Power Plant",Solar,Operational,7.4,2014,Thailand,"Solar Power Khon Kaen 9 Company Limited Solar Power Co Ltd.",,,," ",Thailand,"Khon Kaen","Chum Phae",,
545,"Khon Kaen Sugar Power Plant Co Ltd.",Biomass,Operational,40,,Thailand,"Khon Kaen Sugar Industry Public Company Limited",,,," ",Thailand,Loei,"Wang Saphung",,
546,"Khon Kaen Sugar Power Plant Co Ltd.",Biomass,Operational,65,,Thailand,"Khon Kaen Sugar Industry Public Company Limited",,,," ",Thailand,"Khon Kaen","Nam Phong",,
547,"Khon Kaen Sugar Power Plant Co Ltd.",Biomass,Unknown,30,2006,"Thailand; United Kingdom; Japan","Khon Kaen Sugar Industry Public Company Limited; Agrinergy Ltd.; Yoshimine Co Ltd; Skinko Industrial Ltd.",,,," ",Thailand,"Khon Kaen","Nam Phong",,
548,"Khonburi Sugar Public Company Limited",Biomass,Operational,22,,Thailand,"Khonburi Sugar Public Company Limited",,,," ",Thailand,"Nakhon Ratchasima","Khon Buri",,
549,"Khun Dan Prakarn Chon Dam",Hydro,Operational,11,,Thailand,"EGAT Thailand",,,," ",Thailand,"Nakhon Nayok","Pak Phli",,
550,"KI Sugar Group: Korach Industry Co Ltd.",Biomass,Unknown,42,1990,Thailand,"Korach Industry Co Ltdl. KI Sugar Group",,,," ",Thailand,"Nakhon Ratchasima",Phimai,,
551,"KI Sugar Group: Surin Electric Co Ltd.",Biomass,Unknown,30,2005,Thailand,"Surin Electric Co Ltd KI Sugar Group",,,," ",Thailand,Surin,Phrasat,,
552,"KI Sugar: KI Biogas Co Ltd. Wastewater Treatment for Energy Generation",Waste,Unknown,4,2008,Thailand,"KI Biogas Co Ltd. KI Sugar Group",,,," ",Thailand,"Nakhon Ratchasima",Phimai,,
553,"KI Sugar: KI Biogas Co Ltd. Wastewater Treatment for Energy Generation",Waste,Unknown,4,2008,Thailand,"KI Biogas Co Ltd. KI Sugar Group",,,," ",Thailand,"Nakhon Ratchasima",Phimai,,
554,"Kien Giang 1"," 2 Nha may dien Kien Giang I"," II - Chuoi du an khi lo B",Gas,Planned,750,2022,Vietnam,"Petrovietnam Tap doan Dau khi Quoc Gia Viet Nam",,,," ",Vietnam,,
555,"Kien Luong 1 Thermal Power Plant Nha may dien Kien Luong 1",Coal,Cancelled,1200,2030,Vietnam,"Tan Tao Energy Vietnam Cong Ty Co Phan Phat trien Nang luong Tan Tao","United Kingdom","Standard Chartered Bank UK",China,"Huadian China",Vietnam,"Kien Giang","Kien Luong",,
556,"Kien Luong 2 Thermal Power Plant Nha may dien Kien Luong 2",Coal,Cancelled,1200,2030,Vietnam,"Tan Tao Energy Vietnam Cong Ty Co Phan Phat trien Nang luong Tan Tao",,,," ",Vietnam,"Kien Giang","Kien Luong",,
557,"Kien Luong 3 Thermal Power Plant Nha may dien Kien Luong 3",Coal,Cancelled,2000,2030,Vietnam,"Tan Tao Energy Vietnam Cong Ty Co Phan Phat trien Nang luong Tan Tao",,,," ",Vietnam,"Kien Giang","Kien Luong",,
558,"Kiew Kor Mah Hydropower Plant",Hydro,Operational,5.5,2018,Thailand,"EGAT Thailand",,,Thailand,"Phararam 2 Civil Engineering Thailand",Thailand,Lampang,"Muang Lampang",,
559,"Kindaw Kinda",Hydro,Operational,56,1985,,,UNDP,UNDP,," ",Myanmar,Mandalay,Kyaukse,,
560,"Kirirom I",Hydro,Operational,12,2002,China,"China Electric Power Technology Import & Export Company CEPTIEC",China,"China EXIM Bank China",China,"China Electric Power Technology Import and Export Company CEPTIEC",Cambodia,"Koh Kong","Kampong Seila",,
561,"Kirirom II",Hydro,Planned,1,,,,,,," ",Cambodia,"Koh Kong","Kampong Seila",,
562,"Kirirom III Hydropower plant",Hydro,Operational,18,2013,China,"State Grid Corporation of China China",China,"China EXIM Bank China",China,"Hydrochina Zhongnan Engineering China",Cambodia,"Koh Kong","Srae Ambel",,
563,"Kitroongruang Biogas Energy Project",Waste,Unknown,1.451,,Thailand,"Thai Biogas Energy Co Ltd.",,,"United Kingdom","EcoSecurities International Ltd.",Thailand,Rayong,"Muang Rayong",,
564,"Klong Tron Hydropower Plant",Hydro,"Under Construction",2.5,2018,Thailand,"EGAT Thailand",,,," ",Thailand,Uttaradit,"Nam Pat",,
565,"Koh Kong Thermal Power Plant",Coal,Planned,2000,,"Thailand; Cambodia","L.YP. Group Cambodia"," Thai Samart Thailand",Thailand,"Thai Banks Thailand",," ",Cambodia,"Koh Kong",,
566,"Koh Reah Thermal Power Plant","Mixed Fossil Fuel",Planned,400,,Cambodia,"Electricite du Cambodge Cambodia",Cambodia,"Government of Cambodia; Electricite du Cambodge",China,"China Gezhouba Group Cooperation-UN Power Co China"," China National Heavy Machinery Corp. China",Cambodia,Kandal,,
567,"Kon Dao",Hydro,Operational,1,1984,,,,,," ",Vietnam,"Kon Tum","Đak To",,
568,"Korat 1 Solar Power Plant",Solar,Operational,6.1,2010,"Thailand; IFC","Solar Power Korat 1 Company Limited Solar Power Co Ltd; International Finance Corporation; Thai Fa Power Co Ltd",,,," ",Thailand,"Nakhon Ratchasima","Non Sung",,
569,"Korat 2 Solar Power Plant",Solar,Operational,6.1,2011,Thailand,"Solar Power Korat 2 Company Limited Solar Power Co Ltd; Thai Fa Power Co Ltd_",,,," ",Thailand,"Nakhon Ratchasima","Non Sung",,
570,"Korat 3 Solar Power Plant",Solar,Operational,6.1,2012,Thailand,"Solar Power Korat 3 Company Limited Solar Power Co Ltd.; Ratchaburi Electricity Generating Holding Public Co Ltd.",,,," ",Thailand,"Nakhon Ratchasima","K. Sida",,
571,"Korat 4 Solar Power Plant",Solar,Operational,6.1,2012,Thailand,"Solar Power Korat 4 Company Limited Solar Power Co Ltd.; Ratchaburi Electricity Generating Holding Public Co Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Chok Chai",,
572,"Korat 5 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Korat 5 Company Limited Solar Power Co Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Bua Yai",,
573,"Korat 6 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Korat 6 Company Limited Solar Power Co Ltd.",,,," ",Thailand,"Nakhon Ratchasima",Chakkarat,,
574,"Korat 7 Solar Power Plant",Solar,Operational,6.1,2012,Thailand,"Solar Power Korat 7 Company Limited Solar Power Co Ltd.; Ratchaburi Electricity Generating Holding Public Co Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Dan Khun Thot",,
575,"Korat 8 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Korat 8 Company Limited Solar Power Co Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Bua Yai",,
576,"Korat 9 Solar Power Plant",Solar,Operational,7.4,2013,Thailand,"Solar Power Korat 9 Company Limited Solar Power Co Ltd.",,,," ",Thailand,"Nakhon Ratchasima","Sung Noen",,
577,"Korat S.W. Wastewater Treatment Project",Waste,Unknown,,,Thailand,"Korat S.W. Group 2007 Co Ltd.",,,"United Kingdom; Germany","Agrinergy Pte Ltd. UK; RWE Power Aktiengesellschaft Germany",Thailand,Chanthaburi,Soydow,,
578,"Korat Waste to Energy Project",Waste,Unknown,5,,Thailand,"Korat Waste to Energy Company Ltd",,,"United Kingdom","EcoSecurities Group plc.",Thailand,"Nakhon Ratchasima","Muang Nakhon Ratchasima",,
579,Krabi,Gas,Operational,340,2004,Thailand,"EGCO Electricity Generating Public Company"," Ltd.",,,," ",Thailand,Krabi,,
580,"Krabi 1 Power Plant Project",Biomass,Unknown,9.5,2006,Thailand,"Tropical Asia International Co"," Ltd.",,,Thailand,"ATT Consultants Co Ltd.",Thailand,Krabi,,
581,"Krabi Natural Gas/Deisel","Mixed Fossil Fuel",Operational,315,2004,Thailand,"EGAT Thailand",,,," ",Thailand,Krabi,"Nua Khlong",,
582,"Krabi Power Plant",Coal,Planned,800,2021,Thailand,"EGAT Thailand",,,"Thailand; Italy; China","Italian Thai Development Plc Thailand; Power Construction Corporation of China China",Thailand,Krabi,"Muang Krabi",,
583,"Krakor 60 MW Solar SchneiTec",Solar,Operational,60,2020,"Cambodia; China","SchneiTec Group",,,," ",Cambodia,Pursat,Krakor,,
584,"Krong H'Nang",Hydro,Operational,64,2011,Vietnam,"EVN Vietnam",,,," ",Vietnam,"Phu Yen","Song Hinh",,
585,"Krong Kmar",Hydro,Operational,12,2008,Vietnam,"Song Da Investment and Development JSC",,,," ",Vietnam,"Đak Lak","Krong Bong",,
586,"Krong No 2 Thuy dien Krong No 2",Hydro,Operational,30,2017,Vietnam,"Trungnam Krong No Vietnam",Vietnam,"Saigon Hanoi Commercial Joint Stock Bank Vietnam",," ",Vietnam,"Lam Đong","Lac Duong",,
587,"Krong No 3",Hydro,Operational,18,2016,Vietnam,"Trung Nam Power",,,," ",Vietnam,"Lam Đong","Đam Rong",,
588,"Krong Pa 2 Nha may dien mat troi Krong Pa 2",Solar,Operational,49,2018,Vietnam,"Gia Lai Electricity Joint Stock Company - a TTC Group subsidiary Vietnam","Singapore; World Bank Group","International Finance Corporation - World Bank 15%; Armstrong Asset Management - Singapore 20.05%",Japan,"JGC Vietnam - a JGC Corp subsidiary Japan",Vietnam,"Gia Lai","Krong Pa",,
589,"Kui Buri Solar Power Plant",Solar,Operational,10,,Thailand,"Bangkok Solar Power Company"," Ltd.",,,," ",Thailand,"Prachuap Khiri Khan",,
590,"Kumphawapi Sugar Co"," Ltd",Biomass,Unknown,6,,Thailand,"Kumphawapi Sugar Co"," Ltd",,,," ",Thailand,,
591,"Kun Chaung",Hydro,Operational,60,2012,Myanmar,"MEPE Myanmar",,,China,"CHMC China",Myanmar,Bago,Taungoo,,
592,"Kun Long Upper Thanlwin",Hydro,Postponed,1400,,"China; Myanmar","Hanergy Yunnan China"," Myanmar Pyi San Htar Group Myanmar",,,," ",Myanmar,Shan,,
593,"Kwai Noi Bumrung Dan Dam",Hydro,Operational,30,,Thailand,"EGAT Thailand",,,," ",Thailand,Phitsanulok,"Wat Bot",,
594,"Kwanchangone / Kungyan Gone Stage I II III",Coal,Planned,3270,,Myanmar,"Kaung Myat Thaw Myae Co Ltd. Myanmar",,,," ",Myanmar,Yangon,Yangon-S,,
595,"Kyaukphu PowerChina",Gas,Planned,135,2020,"China; Myanmar","Power Construction Corp China"," Supreme Group Myanmar",,,China,"Power Construction Corp China",Myanmar,Rakhine,,
596,Kyaukphyu,Coal,Planned,1320,,"Myanmar; South Korea","MCM Energy Myanmar"," Daewoo Company South Korea"," Ministry of Electric Power Myanmar",,,," ",Myanmar,,
597,"Kyaukpyu V-Power",Gas,Operational,90,2015,"Hong Kong"," China","V-Power Co Ltd Hong Kong",,,," ",Myanmar,Rakhine,,
598,"Kyaukse APR",Gas,Operational,102,2014,Myanmar,"MEPE Myanmar",,,USA,"Alstom Power Rental Energy Holding Co USA",Myanmar,Mandalay,Kyaukse,,
599,"Kyaukse NIHC",Gas,Operational,145,2019,Myanmar,"PowerGen Kyaukse Co"," Ltd Myanmar"," National Infrastructure Holding Co Myanmar"," Myanmar Chemical and Machinery Myanmar",,,China,"SEPCOIII Electric Power Construction",,
600,Kyauktan,Coal,Cancelled,1300,,"Myanmar; India; Singapore","Kyauktan Project Diamond Palace Services Orange Myanmar"," Powergen India"," Global Adviser Singapore"," Ministry of Electric Power Myanmar",,,," ",,
601,"Kyi Ohn Kyi Wa Kyee Ohn Kyee Wa",Hydro,Operational,74,2012,Myanmar,"MEPE Myanmar",,,China,"Guangdong New Technology Import Export Zhuhai Co China",Myanmar,Magway,Minbu,,
602,Kyunchaung,Gas,Operational,54.3,1974,Myanmar,"MOEP Myanmar",,,," ",Myanmar,Magway,Pakokku,,
603,"La Hieng 2",Hydro,Operational,18,2015,Vietnam,"VRG Phu Yen JSC.",,,," ",Vietnam,"Phu Yen","Đong Xuan",,
604,"Lac Hoa Soc Trang wind farm",Wind,Planned,30,2021,Vietnam,"Renewable Energy JSC Vinh Chau-TDC",,,"China; USA","PowerChina Huadong Engineering Corporation; GE Renewable Energy",Vietnam,"Soc Trang","Vinh Chau",,
605,"Laebao extension phase",Hydro,Planned,7.7,,Laos,"EDL Laos",,,," ",Laos,Champasak,Paksong,,
606,"Laem Chabang Wind Farm",Wind,Operational,200,2012,Thailand,"EGAT Thailand",,,," ",Thailand,"Chon Buri","Si Racha",,
607,"Laem Khao Power Plant",Biomass,Unknown,10.4,1992,Thailand,"Advance Power Conversion Co"," Ltd.",,,," ",Thailand,Songkhla,,
608,"Laem Khao Power Plant",Biomass,Unknown,37.4,1994,Thailand,"Advance Power Conversion Co"," Ltd.",,,," ",Thailand,Chachoengsao,,
609,"Lai Chau Thuy dien Lai Chau AKA Thuy dien Nam Nhun",Hydro,Operational,1200,2015,Vietnam,EVN,Vietnam,EVN,Vietnam,"Hydroproject and Power Construction No 1 JSC"," song Da Corp"," Licogi"," Lilama",,
610,"Laiza Laza",Hydro,Postponed,2800,2025,China,"State Power Investment Corporation China",,,<Null>,,Myanmar,Kachin,Myitkyina,,
